GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zappos-json,com.zappos.json.annot,JsonEnum.EnumValue,0,24,0,0,0,2,0,1,0,1
zappos-json,com.zappos.json.util,Strings,130,151,21,15,26,34,17,10,2,7
zappos-json,com.zappos.json.util,ObjectArray,113,31,13,1,26,5,15,3,8,3
zappos-json,com.zappos.json.util,TypeImpl,80,35,17,5,15,9,13,3,2,3
zappos-json,com.zappos.json.util,JsonUtils,78,178,18,15,25,47,15,10,1,5
zappos-json,com.zappos.json.util,Reflections,216,35,45,5,52,13,33,5,8,5
zappos-json,com.zappos.json,JsonType,72,54,26,0,17,2,18,1,5,1
zappos-json,com.zappos.json,JsonConfig.WriterConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonReader,814,45,126,2,191,13,100,3,30,3
zappos-json,com.zappos.json,JsonConfig,3,0,0,0,1,0,1,0,1,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator.AttributeInfo,24,31,0,0,2,12,2,6,2,6
zappos-json,com.zappos.json,JsonWriter,450,11,40,0,106,4,35,1,15,1
zappos-json,com.zappos.json,JsonReaderInvoker,62,0,0,0,11,0,2,0,2,0
zappos-json,com.zappos.json,JsonException,18,5,0,0,8,2,4,1,4,1
zappos-json,com.zappos.json,ZapposJson,512,207,92,16,121,50,65,11,11,11
zappos-json,com.zappos.json,JsonConfig.ReaderConfig,0,34,0,0,0,4,0,1,0,1
zappos-json,com.zappos.json,JsonBeanAttribute,26,49,2,0,9,18,3,13,2,13
zappos-json,com.zappos.json,JsonWriterInvoker,60,0,0,0,14,0,2,0,2,0
zappos-json,com.zappos.json,JsonReaderCodeGenerator,1493,48,135,1,235,13,76,4,8,4
zappos-json,com.zappos.json,JsonReaderCodeGenerator.TypeInfo,12,30,0,0,1,9,1,4,1,4
zappos-json,com.zappos.json,JsonBeanIntrospector,253,19,36,0,57,7,20,2,2,2
zappos-json,com.zappos.json,ZapposJson.ZapposJsonSingleton,0,27,0,0,0,4,0,3,0,3
zappos-json,com.zappos.json,JsonReaderCodeGenerator.PathAndCode,32,39,9,5,10,13,8,4,1,4
zappos-json,com.zappos.json,JsonWriterCodeGenerator,1208,20,56,0,203,6,37,2,9,2
zappos-json,com.zappos.json.wrapper,ArrayTypeWrapper,0,17,0,0,0,7,0,5,0,5
zappos-json,com.zappos.json.format,NoOpValueFormatter,10,10,0,0,2,3,2,3,2,3
zappos-json,com.zappos.json.format,BigDecimalFormatter,31,20,3,1,6,5,3,4,1,4
zappos-json,com.zappos.json.format,AbstractNumberFormatter,14,7,2,0,4,2,2,2,1,2
zappos-json,com.zappos.json.format,JavaTimeInstantFormatter,17,38,3,1,4,9,3,5,1,5
zappos-json,com.zappos.json.format,JavaTimestampFormatter,43,8,4,0,7,2,5,2,3,2
zappos-json,com.zappos.json.format,BigIntegerFormatter,38,11,3,1,7,3,5,2,3,2
zappos-json,com.zappos.json.format,JavaTimeLocalDateFormatter,6,35,0,0,1,8,1,5,1,5
zappos-json,com.zappos.json.format,JavaDateFormatter,35,12,4,0,6,3,4,3,2,3
zappos-json,com.zappos.json.format,AbstractValueFormatter,8,38,0,2,1,14,1,7,1,6
zappos-json,com.zappos.json.format,JavaSqlDateFormatter,35,22,2,2,4,5,5,3,3,3
